,13
49,"[(0, 3), (0, 9), (0, 10), (0, 11), (1, 4), (1, 5), (2, 5), (2, 7), (2, 10), (3, 10), (3, 12), (4, 11), (5, 6), (5, 8), (5, 10), (6, 7), (6, 9), (6, 11), (7, 9), (8, 9), (8, 12)]"
50,"[(0, 1), (0, 5), (0, 8), (1, 3), (1, 11), (2, 5), (2, 8), (2, 12), (3, 7), (3, 12), (4, 7), (4, 10), (4, 11), (5, 10), (5, 12), (6, 7), (6, 8), (6, 9), (6, 10), (6, 12), (7, 8), (8, 11)]"
51,"[(0, 1), (0, 8), (0, 10), (1, 3), (1, 5), (2, 5), (2, 8), (2, 10), (2, 12), (3, 6), (3, 11), (4, 7), (4, 9), (4, 10), (5, 7), (5, 8), (6, 12), (7, 10), (7, 11), (8, 9), (8, 11), (10, 11)]"
52,"[(0, 1), (0, 3), (0, 6), (1, 4), (1, 6), (1, 11), (3, 10), (4, 6), (4, 12), (5, 7), (5, 9), (5, 10), (6, 9), (6, 10), (7, 8), (7, 9), (7, 12), (8, 11), (8, 12)]"
53,"[(0, 2), (0, 11), (1, 4), (1, 10), (1, 12), (2, 6), (2, 10), (3, 5), (3, 7), (3, 9), (4, 8), (4, 10), (5, 7), (5, 12), (6, 9), (7, 11), (8, 11), (9, 11)]"
54,"[(0, 2), (0, 3), (0, 7), (0, 9), (0, 12), (1, 6), (1, 8), (1, 10), (1, 11), (2, 8), (2, 10), (3, 6), (3, 8), (3, 12), (4, 5), (4, 7), (4, 8), (5, 6), (5, 9), (6, 7), (6, 12), (7, 10), (9, 11), (9, 12), (10, 12)]"
55,"[(0, 4), (0, 5), (0, 7), (0, 8), (0, 11), (1, 5), (1, 6), (1, 12), (2, 8), (3, 5), (3, 7), (3, 9), (4, 6), (4, 8), (6, 11), (6, 12), (7, 8), (7, 11), (7, 12), (8, 12), (9, 10), (9, 11), (10, 12)]"
56,"[(0, 1), (0, 4), (0, 6), (0, 7), (1, 2), (1, 7), (1, 10), (1, 11), (2, 8), (3, 6), (3, 7), (3, 10), (4, 9), (4, 10), (4, 12), (5, 6), (5, 9), (5, 10), (6, 11), (6, 12), (8, 10), (8, 12), (9, 11), (9, 12), (11, 12)]"
57,"[(0, 2), (0, 11), (0, 12), (1, 2), (1, 3), (1, 7), (2, 6), (2, 8), (2, 12), (3, 5), (3, 11), (4, 5), (4, 9), (4, 10), (5, 7), (5, 11), (7, 8), (7, 10), (8, 9), (8, 12), (9, 12), (10, 11), (10, 12)]"
58,"[(0, 3), (0, 7), (0, 9), (0, 12), (1, 3), (1, 6), (1, 8), (1, 9), (1, 10), (2, 4), (2, 5), (2, 7), (2, 10), (2, 12), (3, 5), (3, 11), (4, 7), (4, 11), (4, 12), (6, 9), (6, 10), (6, 12), (8, 9), (8, 11), (10, 11)]"
59,"[(0, 6), (0, 8), (0, 10), (1, 5), (1, 8), (2, 7), (2, 9), (2, 10), (2, 12), (3, 4), (3, 5), (3, 10), (3, 11), (4, 5), (4, 6), (5, 7), (5, 11), (6, 7), (7, 11), (8, 9), (8, 12), (11, 12)]"
60,"[(0, 4), (1, 4), (1, 5), (1, 7), (1, 8), (1, 10), (2, 5), (2, 8), (2, 10), (3, 4), (3, 9), (3, 12), (4, 10), (5, 9), (5, 11), (6, 10), (6, 11), (6, 12), (7, 8), (7, 11), (9, 11), (9, 12), (10, 11)]"
61,"[(0, 2), (0, 8), (0, 10), (0, 11), (1, 4), (1, 5), (1, 12), (2, 11), (2, 12), (3, 7), (3, 11), (4, 6), (4, 9), (6, 7), (7, 9), (8, 9), (8, 12), (9, 10)]"
62,"[(0, 5), (0, 10), (0, 12), (1, 8), (1, 10), (1, 11), (2, 6), (2, 11), (2, 12), (3, 4), (3, 7), (3, 8), (3, 11), (4, 9), (4, 10), (4, 11), (4, 12), (5, 6), (5, 9), (6, 7), (6, 12), (7, 10), (7, 11), (8, 9), (8, 10)]"
63,"[(0, 4), (0, 5), (0, 7), (0, 9), (0, 10), (1, 3), (1, 7), (1, 9), (2, 5), (2, 6), (2, 9), (2, 10), (3, 11), (3, 12), (4, 6), (4, 12), (5, 11), (5, 12), (6, 9), (7, 9), (7, 12), (8, 10), (9, 11)]"
64,"[(0, 5), (0, 7), (0, 9), (1, 4), (1, 5), (1, 6), (1, 7), (1, 11), (2, 7), (2, 10), (2, 11), (3, 6), (3, 8), (3, 12), (4, 6), (4, 8), (4, 9), (5, 8), (5, 9), (5, 10), (6, 12), (7, 10), (7, 12), (8, 10), (9, 12), (10, 12)]"
65,"[(0, 1), (0, 5), (0, 7), (0, 11), (1, 5), (1, 9), (1, 12), (2, 4), (2, 5), (2, 8), (2, 12), (3, 5), (3, 6), (3, 7), (3, 8), (4, 6), (4, 7), (4, 10), (6, 8), (6, 9), (6, 10), (6, 11), (8, 12), (9, 10), (10, 12)]"
66,"[(0, 3), (0, 5), (0, 8), (0, 12), (1, 2), (1, 3), (1, 4), (2, 10), (3, 9), (4, 5), (4, 7), (4, 12), (5, 6), (5, 8), (5, 12), (6, 9), (7, 9), (7, 11), (8, 10), (8, 11), (10, 12)]"
67,"[(0, 3), (0, 8), (0, 9), (1, 3), (1, 12), (2, 4), (2, 8), (2, 9), (2, 10), (2, 12), (3, 7), (4, 6), (4, 11), (4, 12), (5, 10), (6, 7), (7, 9), (10, 11)]"
68,"[(0, 2), (0, 6), (0, 7), (0, 11), (1, 8), (2, 4), (2, 5), (2, 9), (3, 6), (3, 9), (3, 11), (4, 5), (4, 7), (4, 8), (4, 10), (5, 11), (5, 12), (6, 8), (6, 9), (7, 11), (8, 10), (8, 11), (10, 12)]"
69,"[(0, 4), (0, 5), (0, 7), (0, 9), (0, 10), (1, 2), (1, 3), (1, 9), (1, 10), (2, 5), (2, 7), (3, 4), (3, 7), (4, 6), (5, 11), (6, 8), (8, 9), (8, 10), (11, 12)]"
70,"[(0, 7), (0, 9), (0, 10), (1, 3), (1, 5), (1, 8), (1, 10), (2, 5), (2, 6), (2, 7), (2, 12), (3, 8), (3, 9), (4, 5), (4, 6), (4, 11), (5, 7), (5, 8), (5, 11), (6, 10), (7, 10), (7, 11), (8, 12), (11, 12)]"
71,"[(0, 2), (0, 4), (0, 7), (0, 11), (1, 5), (1, 7), (1, 8), (1, 11), (2, 5), (2, 6), (3, 4), (3, 5), (4, 7), (4, 10), (6, 8), (6, 11), (7, 8), (10, 11)]"
72,"[(0, 4), (0, 5), (0, 6), (0, 9), (1, 3), (1, 5), (1, 8), (1, 10), (2, 3), (2, 6), (3, 9), (3, 10), (4, 5), (4, 6), (4, 10), (5, 11), (7, 9), (7, 11), (7, 12), (8, 12), (11, 12)]"
73,"[(0, 4), (0, 6), (0, 7), (0, 11), (1, 9), (1, 10), (2, 4), (2, 6), (2, 8), (2, 9), (3, 7), (4, 8), (4, 11), (5, 6), (5, 7), (5, 8), (5, 11), (5, 12), (7, 11), (7, 12), (8, 9), (8, 10), (9, 12), (10, 11)]"
74,"[(0, 1), (0, 3), (0, 4), (0, 6), (0, 8), (1, 3), (1, 6), (1, 9), (2, 4), (2, 6), (2, 11), (3, 7), (3, 8), (3, 12), (4, 10), (4, 11), (5, 6), (5, 8), (5, 10), (7, 9), (7, 11), (10, 12), (11, 12)]"
75,"[(0, 2), (0, 8), (0, 9), (1, 3), (1, 4), (1, 5), (2, 5), (3, 8), (3, 9), (4, 5), (4, 6), (4, 7), (5, 8), (5, 10), (5, 11), (6, 11), (7, 9), (7, 12), (8, 12), (9, 11), (10, 11), (10, 12)]"
76,"[(0, 5), (0, 7), (0, 9), (0, 11), (1, 7), (1, 10), (1, 12), (2, 3), (2, 5), (2, 8), (2, 10), (3, 6), (3, 10), (4, 9), (4, 12), (5, 8), (6, 8), (6, 11), (7, 12), (8, 9), (9, 10), (9, 11), (10, 11), (11, 12)]"
77,"[(0, 2), (0, 3), (0, 10), (0, 12), (1, 4), (1, 6), (1, 8), (1, 9), (2, 5), (2, 6), (2, 7), (2, 9), (3, 5), (3, 8), (4, 11), (4, 12), (5, 6), (6, 10), (7, 8), (7, 10), (9, 10), (9, 11), (10, 11)]"
78,"[(0, 9), (0, 10), (1, 2), (1, 4), (1, 5), (1, 6), (1, 8), (2, 3), (2, 6), (2, 8), (2, 9), (3, 4), (3, 7), (3, 11), (3, 12), (4, 5), (4, 8), (5, 9), (5, 12), (6, 12), (7, 8), (7, 11), (7, 12), (10, 11)]"
79,"[(0, 7), (0, 11), (1, 3), (1, 8), (1, 11), (2, 3), (2, 5), (2, 7), (2, 12), (3, 6), (3, 12), (4, 5), (4, 7), (4, 9), (6, 7), (6, 10), (6, 12), (7, 8), (8, 12), (9, 10), (9, 11)]"
80,"[(0, 3), (0, 5), (0, 10), (0, 11), (1, 8), (1, 12), (2, 4), (2, 6), (2, 9), (2, 10), (3, 4), (3, 8), (3, 11), (5, 9), (5, 10), (5, 12), (6, 7), (6, 9), (6, 12), (7, 11), (7, 12), (8, 9), (10, 12)]"
81,"[(0, 4), (0, 5), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 8), (2, 10), (3, 7), (3, 9), (5, 9), (5, 11), (6, 10), (6, 11), (7, 12), (8, 12)]"
82,"[(0, 6), (0, 9), (0, 11), (0, 12), (1, 2), (1, 8), (2, 5), (2, 6), (3, 4), (3, 5), (3, 9), (3, 10), (4, 8), (4, 11), (5, 12), (6, 7), (7, 9), (7, 10), (7, 11), (8, 9), (9, 12)]"
83,"[(0, 3), (0, 4), (0, 7), (1, 2), (1, 6), (1, 10), (1, 11), (2, 3), (2, 5), (2, 7), (2, 9), (2, 11), (3, 8), (3, 11), (4, 6), (4, 7), (4, 9), (4, 10), (5, 11), (5, 12), (6, 7), (8, 10), (9, 10), (9, 12), (10, 11)]"
84,"[(0, 3), (0, 6), (0, 7), (1, 2), (1, 4), (1, 5), (2, 7), (2, 9), (3, 9), (3, 11), (4, 5), (4, 10), (5, 7), (5, 8), (6, 7), (6, 12), (7, 10), (8, 12), (9, 11), (9, 12), (10, 11), (11, 12)]"
85,"[(0, 1), (0, 8), (1, 6), (1, 9), (2, 3), (2, 4), (2, 6), (2, 8), (2, 11), (3, 4), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (7, 8), (7, 9), (7, 10), (8, 11), (10, 12), (11, 12)]"
86,"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 6), (1, 7), (1, 9), (2, 4), (2, 5), (3, 10), (3, 11), (4, 10), (5, 11), (6, 7), (6, 11), (6, 12), (7, 8), (7, 10), (8, 9), (8, 11), (10, 12)]"
87,"[(0, 4), (0, 5), (0, 10), (1, 3), (1, 6), (1, 10), (2, 5), (2, 8), (3, 5), (3, 9), (3, 12), (4, 6), (4, 7), (4, 9), (5, 7), (5, 10), (6, 12), (7, 11), (8, 11), (8, 12), (9, 10), (10, 11), (11, 12)]"
88,"[(0, 2), (1, 2), (1, 4), (1, 7), (2, 5), (2, 7), (3, 7), (3, 8), (3, 9), (3, 11), (4, 6), (4, 8), (4, 9), (5, 9), (5, 12), (6, 8), (6, 10), (6, 11), (8, 9), (8, 12), (10, 11), (10, 12)]"
89,"[(0, 7), (0, 9), (0, 11), (1, 3), (1, 6), (1, 10), (1, 12), (2, 3), (2, 4), (2, 8), (2, 10), (2, 11), (4, 6), (4, 9), (4, 11), (5, 6), (5, 7), (5, 8), (6, 12), (7, 10), (8, 11), (8, 12), (10, 11), (10, 12), (11, 12)]"
90,"[(0, 9), (0, 12), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 5), (3, 6), (3, 10), (4, 7), (5, 8), (5, 12), (6, 8), (6, 10), (8, 9), (10, 12)]"
91,"[(0, 2), (0, 9), (0, 12), (1, 3), (1, 7), (1, 8), (1, 10), (2, 5), (2, 10), (2, 12), (3, 6), (3, 11), (3, 12), (4, 5), (4, 8), (4, 10), (5, 6), (5, 10), (6, 9), (6, 11), (7, 10), (7, 11), (9, 10), (9, 11)]"
92,"[(0, 3), (0, 9), (0, 11), (1, 2), (1, 6), (1, 11), (1, 12), (2, 3), (2, 8), (2, 9), (3, 4), (3, 5), (3, 7), (3, 8), (4, 6), (4, 7), (6, 8), (6, 10), (7, 10), (7, 12), (8, 10), (9, 10)]"
93,"[(0, 1), (0, 3), (0, 5), (0, 9), (0, 11), (1, 10), (1, 11), (2, 3), (2, 6), (2, 7), (2, 11), (3, 5), (3, 6), (3, 8), (4, 8), (4, 9), (4, 10), (4, 12), (5, 7), (5, 12), (6, 10), (8, 9), (11, 12)]"
94,"[(0, 2), (0, 7), (0, 10), (0, 12), (1, 6), (1, 7), (1, 10), (2, 6), (2, 11), (3, 4), (3, 7), (3, 9), (3, 12), (4, 8), (4, 9), (4, 10), (5, 7), (5, 8), (5, 9), (6, 9), (7, 12), (8, 9), (8, 11), (11, 12)]"
95,"[(0, 2), (0, 4), (0, 8), (1, 5), (1, 6), (1, 8), (2, 3), (3, 5), (3, 11), (4, 8), (4, 9), (4, 10), (4, 12), (5, 7), (6, 8), (6, 10), (7, 11), (7, 12), (9, 10), (9, 11), (10, 12), (11, 12)]"
96,"[(0, 3), (0, 11), (1, 6), (1, 11), (2, 3), (2, 5), (2, 8), (2, 9), (4, 7), (5, 6), (5, 7), (5, 10), (6, 10), (7, 8), (7, 10), (9, 11), (9, 12), (10, 12)]"
